date,category,subcategory,amount,type,is_recurring,description
2023-02-14,Food,Delivery,349.07,expense,False,Delivery - Feb 2023
2023-02-14,Shopping,Personal Care,178.53,expense,False,Personal Care - Feb 2023
2023-02-15,Housing,Mortgage,350.19,expense,True,Mortgage - Feb 2023
2023-02-16,Miscellaneous,Gifts,119.99,expense,False,Gifts - Feb 2023
2023-02-17,Housing,Rent,500.32,expense,True,Rent - Feb 2023
2023-02-17,Education,Tuition,38.08,expense,True,Tuition - Feb 2023
2023-02-17,Savings,Retirement,296.9,expense,False,Retirement - Feb 2023
2023-02-18,Miscellaneous,Other,202.94,expense,False,Other - Feb 2023
2023-02-19,Entertainment,Games,106.49,expense,False,Games - Feb 2023
2023-02-20,Food,Groceries,316.72,expense,False,Groceries - Feb 2023
2023-02-23,Savings,Emergency Fund,255.61,expense,True,Emergency Fund - Feb 2023
2023-02-24,Travel,Flights,53.38,expense,False,Flights - Feb 2023
2023-02-25,Entertainment,Games,64.45,expense,False,Games - Feb 2023
2023-02-25,Housing,Utilities,464.84,expense,False,Utilities - Feb 2023
2023-02-25,Housing,Rent,1048.37,expense,True,Rent - Feb 2023
2023-02-25,Transport,Car Insurance,210.87,expense,True,Car Insurance - Feb 2023
2023-02-27,Savings,Investments,117.04,expense,True,Investments - Feb 2023
2023-02-27,Food,Restaurants,215.01,expense,False,Restaurants - Feb 2023
2023-02-28,Food,Coffee,393.31,expense,False,Coffee - Feb 2023
2023-02-28,Housing,Utilities,302.59,expense,False,Utilities - Feb 2023
2023-03-01,Housing,Maintenance,1026.51,expense,False,Maintenance - Mar 2023
2023-03-02,Savings,Investments,196.87,expense,True,Investments - Mar 2023
2023-03-02,Shopping,Electronics,181.38,expense,False,Electronics - Mar 2023
2023-03-03,Food,Coffee,81.71,expense,False,Coffee - Mar 2023
2023-03-03,Miscellaneous,Gifts,134.21,expense,False,Gifts - Mar 2023
2023-03-03,Transport,Public Transit,107.21,expense,False,Public Transit - Mar 2023
2023-03-04,Food,Restaurants,179.72,expense,False,Restaurants - Mar 2023
2023-03-04,Savings,Investments,102.88,expense,True,Investments - Mar 2023
2023-03-05,Housing,Utilities,615.29,expense,False,Utilities - Mar 2023
2023-03-05,Savings,Investments,115.66,expense,True,Investments - Mar 2023
2023-03-06,Housing,Mortgage,543.85,expense,True,Mortgage - Mar 2023
2023-03-07,Food,Coffee,212.39,expense,False,Coffee - Mar 2023
2023-03-07,Transport,Parking,215.48,expense,False,Parking - Mar 2023
2023-03-08,Food,Restaurants,142.58,expense,False,Restaurants - Mar 2023
2023-03-08,Savings,Emergency Fund,302.69,expense,True,Emergency Fund - Mar 2023
2023-03-08,Transport,Fuel,110.8,expense,False,Fuel - Mar 2023
2023-03-08,Healthcare,Gym,168.54,expense,True,Gym - Mar 2023
2023-03-09,Healthcare,Insurance,82.07,expense,False,Insurance - Mar 2023
2023-03-09,Savings,Emergency Fund,445.69,expense,True,Emergency Fund - Mar 2023
2023-03-09,Savings,Investments,160.97,expense,True,Investments - Mar 2023
2023-03-09,Travel,Hotels,219.96,expense,False,Hotels - Mar 2023
2023-03-09,Housing,Mortgage,321.78,expense,True,Mortgage - Mar 2023
2023-03-09,Transport,Car Insurance,135.02,expense,True,Car Insurance - Mar 2023
2023-03-12,Savings,Investments,158.77,expense,True,Investments - Mar 2023
2023-03-12,Shopping,Personal Care,227.2,expense,False,Personal Care - Mar 2023
2023-03-13,Income,Salary,6652.15,income,True,Monthly Salary - Mar 2023
2023-03-15,Entertainment,Events,88.56,expense,False,Events - Mar 2023
2023-03-16,Transport,Public Transit,61.24,expense,False,Public Transit - Mar 2023
2023-03-16,Savings,Retirement,84.54,expense,False,Retirement - Mar 2023
2023-03-16,Housing,Rent,314.11,expense,True,Rent - Mar 2023
2023-03-17,Savings,Retirement,181.69,expense,False,Retirement - Mar 2023
2023-03-20,Entertainment,Games,107.28,expense,False,Games - Mar 2023
2023-03-20,Housing,Utilities,452.62,expense,False,Utilities - Mar 2023
2023-03-20,Healthcare,Pharmacy,223.83,expense,False,Pharmacy - Mar 2023
2023-03-20,Entertainment,Streaming,109.52,expense,True,Streaming - Mar 2023
2023-03-22,Savings,Retirement,295.13,expense,False,Retirement - Mar 2023
2023-03-23,Housing,Mortgage,722.4,expense,True,Mortgage - Mar 2023
2023-03-23,Housing,Mortgage,568.88,expense,True,Mortgage - Mar 2023
2023-03-24,Savings,Retirement,100.55,expense,False,Retirement - Mar 2023
2023-03-24,Entertainment,Events,135.0,expense,False,Events - Mar 2023
2023-03-25,Education,Books,43.75,expense,False,Books - Mar 2023
2023-03-27,Healthcare,Doctor,90.46,expense,False,Doctor - Mar 2023
2023-03-27,Housing,Maintenance,618.71,expense,False,Maintenance - Mar 2023
2023-03-27,Housing,Mortgage,791.76,expense,True,Mortgage - Mar 2023
2023-03-27,Education,Courses,88.37,expense,False,Courses - Mar 2023
2023-03-28,Shopping,Clothing,262.46,expense,False,Clothing - Mar 2023
2023-03-28,Entertainment,Movies,68.4,expense,False,Movies - Mar 2023
2023-03-28,Food,Coffee,189.45,expense,False,Coffee - Mar 2023
2023-03-29,Healthcare,Pharmacy,93.54,expense,False,Pharmacy - Mar 2023
2023-03-31,Housing,Maintenance,826.29,expense,False,Maintenance - Mar 2023
2023-04-01,Transport,Parking,179.8,expense,False,Parking - Apr 2023
2023-04-02,Food,Groceries,524.0,expense,False,Groceries - Apr 2023
2023-04-03,Miscellaneous,Pet,71.89,expense,False,Pet - Apr 2023
2023-04-03,Savings,Emergency Fund,99.43,expense,True,Emergency Fund - Apr 2023
2023-04-04,Housing,Utilities,311.83,expense,False,Utilities - Apr 2023
2023-04-05,Miscellaneous,Pet,93.67,expense,False,Pet - Apr 2023
2023-04-05,Housing,Maintenance,453.94,expense,False,Maintenance - Apr 2023
2023-04-06,Travel,Flights,77.05,expense,False,Flights - Apr 2023
2023-04-06,Food,Coffee,191.26,expense,False,Coffee - Apr 2023
2023-04-06,Transport,Public Transit,152.31,expense,False,Public Transit - Apr 2023
2023-04-06,Shopping,Personal Care,196.84,expense,False,Personal Care - Apr 2023
2023-04-07,Savings,Retirement,88.21,expense,False,Retirement - Apr 2023
2023-04-11,Healthcare,Gym,59.45,expense,True,Gym - Apr 2023
2023-04-11,Education,Courses,47.2,expense,False,Courses - Apr 2023
2023-04-12,Income,Salary,6846.74,income,True,Monthly Salary - Apr 2023
2023-04-13,Shopping,Electronics,114.55,expense,False,Electronics - Apr 2023
2023-04-13,Housing,Rent,277.24,expense,True,Rent - Apr 2023
2023-04-14,Housing,Rent,626.9,expense,True,Rent - Apr 2023
2023-04-14,Miscellaneous,Pet,182.4,expense,False,Pet - Apr 2023
2023-04-17,Education,Books,51.19,expense,False,Books - Apr 2023
2023-04-17,Travel,Hotels,87.03,expense,False,Hotels - Apr 2023
2023-04-23,Transport,Uber/Lyft,140.34,expense,False,Uber/Lyft - Apr 2023
2023-04-23,Miscellaneous,Gifts,56.24,expense,False,Gifts - Apr 2023
2023-04-26,Miscellaneous,Other,190.56,expense,False,Other - Apr 2023
2023-04-29,Miscellaneous,Charity,105.27,expense,False,Charity - Apr 2023
2023-05-01,Food,Delivery,383.02,expense,False,Delivery - May 2023
2023-05-01,Miscellaneous,Gifts,173.16,expense,False,Gifts - May 2023
2023-05-04,Travel,Flights,128.69,expense,False,Flights - May 2023
2023-05-05,Savings,Retirement,269.92,expense,False,Retirement - May 2023
2023-05-05,Entertainment,Games,48.53,expense,False,Games - May 2023
2023-05-06,Shopping,Electronics,79.38,expense,False,Electronics - May 2023
2023-05-06,Housing,Mortgage,131.72,expense,True,Mortgage - May 2023
2023-05-08,Housing,Rent,298.34,expense,True,Rent - May 2023
2023-05-11,Food,Groceries,97.45,expense,False,Groceries - May 2023
2023-05-11,Transport,Uber/Lyft,252.24,expense,False,Uber/Lyft - May 2023
2023-05-11,Transport,Uber/Lyft,184.2,expense,False,Uber/Lyft - May 2023
2023-05-11,Food,Delivery,482.86,expense,False,Delivery - May 2023
2023-05-11,Food,Restaurants,270.5,expense,False,Restaurants - May 2023
2023-05-12,Income,Salary,6269.05,income,True,Monthly Salary - May 2023
2023-05-12,Travel,Activities,93.09,expense,False,Activities - May 2023
2023-05-12,Shopping,Home Goods,104.09,expense,False,Home Goods - May 2023
2023-05-13,Shopping,Clothing,74.97,expense,False,Clothing - May 2023
2023-05-14,Housing,Utilities,649.56,expense,False,Utilities - May 2023
2023-05-15,Housing,Maintenance,405.83,expense,False,Maintenance - May 2023
2023-05-15,Housing,Maintenance,99.02,expense,False,Maintenance - May 2023
2023-05-15,Savings,Emergency Fund,129.34,expense,True,Emergency Fund - May 2023
2023-05-16,Shopping,Clothing,194.58,expense,False,Clothing - May 2023
2023-05-16,Savings,Emergency Fund,127.4,expense,True,Emergency Fund - May 2023
2023-05-16,Food,Groceries,555.24,expense,False,Groceries - May 2023
2023-05-18,Shopping,Home Goods,89.33,expense,False,Home Goods - May 2023
2023-05-18,Miscellaneous,Other,207.08,expense,False,Other - May 2023
2023-05-19,Healthcare,Pharmacy,156.69,expense,False,Pharmacy - May 2023
2023-05-20,Miscellaneous,Charity,32.75,expense,False,Charity - May 2023
2023-05-21,Food,Restaurants,161.08,expense,False,Restaurants - May 2023
2023-05-23,Travel,Activities,22.91,expense,False,Activities - May 2023
2023-05-23,Food,Delivery,495.74,expense,False,Delivery - May 2023
2023-05-23,Food,Coffee,255.35,expense,False,Coffee - May 2023
2023-05-23,Healthcare,Insurance,113.81,expense,False,Insurance - May 2023
2023-05-25,Transport,Public Transit,128.68,expense,False,Public Transit - May 2023
2023-05-25,Housing,Mortgage,728.66,expense,True,Mortgage - May 2023
2023-05-25,Transport,Public Transit,173.67,expense,False,Public Transit - May 2023
2023-05-25,Housing,Mortgage,731.54,expense,True,Mortgage - May 2023
2023-05-25,Savings,Retirement,94.62,expense,False,Retirement - May 2023
2023-05-25,Housing,Mortgage,472.7,expense,True,Mortgage - May 2023
2023-05-25,Shopping,Electronics,78.8,expense,False,Electronics - May 2023
2023-05-26,Miscellaneous,Gifts,116.14,expense,False,Gifts - May 2023
2023-05-26,Housing,Rent,808.1,expense,True,Rent - May 2023
2023-05-26,Housing,Rent,130.86,expense,True,Rent - May 2023
2023-05-27,Healthcare,Insurance,151.31,expense,False,Insurance - May 2023
2023-05-27,Transport,Car Insurance,225.09,expense,True,Car Insurance - May 2023
2023-05-27,Savings,Retirement,114.68,expense,False,Retirement - May 2023
2023-05-28,Transport,Public Transit,161.6,expense,False,Public Transit - May 2023
2023-05-29,Entertainment,Streaming,70.02,expense,True,Streaming - May 2023
2023-05-31,Shopping,Clothing,91.42,expense,False,Clothing - May 2023
2023-05-31,Education,Books,86.79,expense,False,Books - May 2023
2023-06-01,Food,Delivery,389.6,expense,False,Delivery - Jun 2023
2023-06-02,Healthcare,Gym,128.94,expense,True,Gym - Jun 2023
2023-06-02,Miscellaneous,Charity,205.34,expense,False,Charity - Jun 2023
2023-06-03,Savings,Investments,145.63,expense,True,Investments - Jun 2023
2023-06-04,Food,Groceries,79.11,expense,False,Groceries - Jun 2023
2023-06-05,Housing,Mortgage,256.65,expense,True,Mortgage - Jun 2023
2023-06-05,Housing,Maintenance,1098.06,expense,False,Maintenance - Jun 2023
2023-06-06,Housing,Maintenance,735.66,expense,False,Maintenance - Jun 2023
2023-06-10,Housing,Maintenance,448.67,expense,False,Maintenance - Jun 2023
2023-06-10,Food,Groceries,138.81,expense,False,Groceries - Jun 2023
2023-06-11,Housing,Rent,374.95,expense,True,Rent - Jun 2023
2023-06-11,Income,Salary,6755.39,income,True,Monthly Salary - Jun 2023
2023-06-12,Education,Books,44.5,expense,False,Books - Jun 2023
2023-06-13,Housing,Utilities,900.67,expense,False,Utilities - Jun 2023
2023-06-13,Shopping,Home Goods,97.2,expense,False,Home Goods - Jun 2023
2023-06-14,Food,Restaurants,123.41,expense,False,Restaurants - Jun 2023
2023-06-17,Food,Restaurants,386.63,expense,False,Restaurants - Jun 2023
2023-06-17,Healthcare,Pharmacy,175.89,expense,False,Pharmacy - Jun 2023
2023-06-18,Entertainment,Events,62.23,expense,False,Events - Jun 2023
2023-06-20,Housing,Mortgage,924.81,expense,True,Mortgage - Jun 2023
2023-06-20,Healthcare,Insurance,79.24,expense,False,Insurance - Jun 2023
2023-06-21,Savings,Retirement,74.25,expense,False,Retirement - Jun 2023
2023-06-21,Food,Delivery,395.7,expense,False,Delivery - Jun 2023
2023-06-26,Transport,Public Transit,84.08,expense,False,Public Transit - Jun 2023
2023-06-28,Entertainment,Movies,25.08,expense,False,Movies - Jun 2023
2023-06-29,Housing,Rent,219.02,expense,True,Rent - Jun 2023
2023-07-01,Savings,Investments,228.13,expense,True,Investments - Jul 2023
2023-07-02,Transport,Parking,295.33,expense,False,Parking - Jul 2023
2023-07-02,Shopping,Clothing,168.85,expense,False,Clothing - Jul 2023
2023-07-04,Food,Delivery,153.79,expense,False,Delivery - Jul 2023
2023-07-05,Healthcare,Pharmacy,88.11,expense,False,Pharmacy - Jul 2023
2023-07-10,Savings,Retirement,356.93,expense,False,Retirement - Jul 2023
2023-07-10,Housing,Maintenance,641.14,expense,False,Maintenance - Jul 2023
2023-07-11,Income,Salary,6076.74,income,True,Monthly Salary - Jul 2023
2023-07-13,Entertainment,Events,108.46,expense,False,Events - Jul 2023
2023-07-13,Housing,Maintenance,659.57,expense,False,Maintenance - Jul 2023
2023-07-13,Education,Courses,93.45,expense,False,Courses - Jul 2023
2023-07-13,Miscellaneous,Pet,101.89,expense,False,Pet - Jul 2023
2023-07-15,Food,Delivery,181.94,expense,False,Delivery - Jul 2023
2023-07-15,Healthcare,Insurance,101.08,expense,False,Insurance - Jul 2023
2023-07-17,Savings,Investments,109.36,expense,True,Investments - Jul 2023
2023-07-17,Miscellaneous,Charity,69.23,expense,False,Charity - Jul 2023
2023-07-19,Housing,Maintenance,446.1,expense,False,Maintenance - Jul 2023
2023-07-20,Food,Restaurants,314.32,expense,False,Restaurants - Jul 2023
2023-07-21,Savings,Investments,93.38,expense,True,Investments - Jul 2023
2023-07-23,Housing,Maintenance,452.49,expense,False,Maintenance - Jul 2023
2023-07-24,Savings,Emergency Fund,132.91,expense,True,Emergency Fund - Jul 2023
2023-07-24,Savings,Investments,156.17,expense,True,Investments - Jul 2023
2023-07-28,Housing,Mortgage,372.18,expense,True,Mortgage - Jul 2023
2023-07-29,Miscellaneous,Gifts,120.0,expense,False,Gifts - Jul 2023
2023-07-29,Savings,Retirement,195.1,expense,False,Retirement - Jul 2023
2023-07-31,Healthcare,Doctor,187.34,expense,False,Doctor - Jul 2023
2023-08-02,Housing,Utilities,143.78,expense,False,Utilities - Aug 2023
2023-08-04,Food,Groceries,206.7,expense,False,Groceries - Aug 2023
2023-08-04,Healthcare,Pharmacy,102.53,expense,False,Pharmacy - Aug 2023
2023-08-05,Healthcare,Doctor,90.32,expense,False,Doctor - Aug 2023
2023-08-05,Healthcare,Pharmacy,117.52,expense,False,Pharmacy - Aug 2023
2023-08-10,Income,Salary,6160.54,income,True,Monthly Salary - Aug 2023
2023-08-10,Transport,Public Transit,299.17,expense,False,Public Transit - Aug 2023
2023-08-10,Healthcare,Doctor,173.86,expense,False,Doctor - Aug 2023
2023-08-11,Food,Restaurants,322.54,expense,False,Restaurants - Aug 2023
2023-08-11,Housing,Rent,528.03,expense,True,Rent - Aug 2023
2023-08-12,Savings,Investments,125.5,expense,True,Investments - Aug 2023
2023-08-13,Travel,Hotels,84.79,expense,False,Hotels - Aug 2023
2023-08-13,Housing,Utilities,998.98,expense,False,Utilities - Aug 2023
2023-08-14,Healthcare,Pharmacy,119.91,expense,False,Pharmacy - Aug 2023
2023-08-14,Savings,Investments,143.18,expense,True,Investments - Aug 2023
2023-08-15,Housing,Rent,520.87,expense,True,Rent - Aug 2023
2023-08-16,Housing,Maintenance,516.11,expense,False,Maintenance - Aug 2023
2023-08-16,Shopping,Electronics,266.82,expense,False,Electronics - Aug 2023
2023-08-16,Food,Delivery,125.9,expense,False,Delivery - Aug 2023
2023-08-17,Housing,Rent,853.68,expense,True,Rent - Aug 2023
2023-08-18,Miscellaneous,Gifts,66.91,expense,False,Gifts - Aug 2023
2023-08-18,Travel,Flights,180.93,expense,False,Flights - Aug 2023
2023-08-18,Housing,Rent,308.37,expense,True,Rent - Aug 2023
2023-08-20,Miscellaneous,Pet,111.92,expense,False,Pet - Aug 2023
2023-08-21,Savings,Emergency Fund,148.44,expense,True,Emergency Fund - Aug 2023
2023-08-21,Shopping,Clothing,70.4,expense,False,Clothing - Aug 2023
2023-08-21,Housing,Utilities,622.41,expense,False,Utilities - Aug 2023
2023-08-22,Food,Coffee,270.38,expense,False,Coffee - Aug 2023
2023-08-24,Housing,Mortgage,690.28,expense,True,Mortgage - Aug 2023
2023-08-25,Shopping,Home Goods,58.59,expense,False,Home Goods - Aug 2023
2023-08-26,Savings,Emergency Fund,272.06,expense,True,Emergency Fund - Aug 2023
2023-08-26,Housing,Utilities,827.68,expense,False,Utilities - Aug 2023
2023-08-26,Healthcare,Pharmacy,273.21,expense,False,Pharmacy - Aug 2023
2023-08-27,Entertainment,Games,175.78,expense,False,Games - Aug 2023
2023-08-29,Housing,Maintenance,347.49,expense,False,Maintenance - Aug 2023
2023-08-29,Savings,Investments,107.07,expense,True,Investments - Aug 2023
2023-08-29,Housing,Mortgage,314.53,expense,True,Mortgage - Aug 2023
2023-08-29,Shopping,Electronics,164.1,expense,False,Electronics - Aug 2023
2023-08-30,Housing,Rent,504.18,expense,True,Rent - Aug 2023
2023-08-30,Housing,Maintenance,661.26,expense,False,Maintenance - Aug 2023
2023-08-30,Food,Groceries,424.01,expense,False,Groceries - Aug 2023
2023-08-30,Shopping,Electronics,167.81,expense,False,Electronics - Aug 2023
2023-08-31,Food,Restaurants,216.49,expense,False,Restaurants - Aug 2023
2023-08-31,Entertainment,Streaming,93.78,expense,True,Streaming - Aug 2023
2023-08-31,Housing,Mortgage,715.15,expense,True,Mortgage - Aug 2023
2023-08-31,Transport,Car Insurance,120.65,expense,True,Car Insurance - Aug 2023
2023-08-31,Shopping,Clothing,124.23,expense,False,Clothing - Aug 2023
2023-08-31,Housing,Maintenance,544.88,expense,False,Maintenance - Aug 2023
2023-09-02,Housing,Utilities,633.03,expense,False,Utilities - Sep 2023
2023-09-02,Entertainment,Games,198.55,expense,False,Games - Sep 2023
2023-09-03,Healthcare,Doctor,123.47,expense,False,Doctor - Sep 2023
2023-09-04,Food,Groceries,136.84,expense,False,Groceries - Sep 2023
2023-09-04,Housing,Rent,550.0,expense,True,Rent - Sep 2023
2023-09-05,Housing,Maintenance,485.29,expense,False,Maintenance - Sep 2023
2023-09-09,Income,Salary,6094.4,income,True,Monthly Salary - Sep 2023
2023-09-09,Housing,Rent,636.03,expense,True,Rent - Sep 2023
2023-09-09,Entertainment,Games,174.3,expense,False,Games - Sep 2023
2023-09-09,Shopping,Home Goods,84.2,expense,False,Home Goods - Sep 2023
2023-09-10,Housing,Rent,327.09,expense,True,Rent - Sep 2023
2023-09-15,Travel,Flights,61.0,expense,False,Flights - Sep 2023
2023-09-19,Housing,Rent,445.92,expense,True,Rent - Sep 2023
2023-09-19,Miscellaneous,Pet,59.13,expense,False,Pet - Sep 2023
2023-09-22,Travel,Flights,61.2,expense,False,Flights - Sep 2023
2023-09-23,Food,Coffee,127.21,expense,False,Coffee - Sep 2023
2023-09-23,Miscellaneous,Gifts,69.6,expense,False,Gifts - Sep 2023
2023-09-24,Healthcare,Doctor,94.97,expense,False,Doctor - Sep 2023
2023-09-24,Savings,Retirement,361.26,expense,False,Retirement - Sep 2023
2023-09-24,Transport,Uber/Lyft,126.94,expense,False,Uber/Lyft - Sep 2023
2023-09-25,Savings,Retirement,135.62,expense,False,Retirement - Sep 2023
2023-09-27,Housing,Maintenance,323.36,expense,False,Maintenance - Sep 2023
2023-09-28,Savings,Emergency Fund,109.02,expense,True,Emergency Fund - Sep 2023
2023-09-30,Housing,Utilities,495.49,expense,False,Utilities - Sep 2023
2023-09-30,Entertainment,Streaming,182.17,expense,True,Streaming - Sep 2023
2023-10-02,Healthcare,Insurance,108.95,expense,False,Insurance - Oct 2023
2023-10-02,Housing,Utilities,637.87,expense,False,Utilities - Oct 2023
2023-10-02,Education,Tuition,134.49,expense,True,Tuition - Oct 2023
2023-10-03,Healthcare,Doctor,133.33,expense,False,Doctor - Oct 2023
2023-10-09,Income,Salary,6434.22,income,True,Monthly Salary - Oct 2023
2023-10-09,Healthcare,Insurance,88.84,expense,False,Insurance - Oct 2023
2023-10-09,Education,Subscriptions,40.71,expense,False,Subscriptions - Oct 2023
2023-10-10,Housing,Utilities,554.62,expense,False,Utilities - Oct 2023
2023-10-10,Housing,Mortgage,249.65,expense,True,Mortgage - Oct 2023
2023-10-10,Housing,Rent,612.28,expense,True,Rent - Oct 2023
2023-10-10,Housing,Utilities,958.08,expense,False,Utilities - Oct 2023
2023-10-11,Food,Coffee,229.8,expense,False,Coffee - Oct 2023
2023-10-12,Savings,Emergency Fund,224.13,expense,True,Emergency Fund - Oct 2023
2023-10-12,Food,Restaurants,190.84,expense,False,Restaurants - Oct 2023
2023-10-14,Housing,Rent,95.87,expense,True,Rent - Oct 2023
2023-10-15,Food,Coffee,253.72,expense,False,Coffee - Oct 2023
2023-10-17,Education,Courses,70.58,expense,False,Courses - Oct 2023
2023-10-17,Savings,Retirement,205.79,expense,False,Retirement - Oct 2023
2023-10-19,Food,Coffee,161.19,expense,False,Coffee - Oct 2023
2023-10-20,Shopping,Personal Care,151.01,expense,False,Personal Care - Oct 2023
2023-10-21,Miscellaneous,Charity,243.86,expense,False,Charity - Oct 2023
2023-10-21,Healthcare,Pharmacy,164.53,expense,False,Pharmacy - Oct 2023
2023-10-23,Healthcare,Pharmacy,197.15,expense,False,Pharmacy - Oct 2023
2023-10-24,Shopping,Clothing,172.6,expense,False,Clothing - Oct 2023
2023-10-24,Entertainment,Movies,159.69,expense,False,Movies - Oct 2023
2023-10-28,Savings,Emergency Fund,174.64,expense,True,Emergency Fund - Oct 2023
2023-10-28,Miscellaneous,Other,98.83,expense,False,Other - Oct 2023
2023-10-28,Housing,Utilities,365.83,expense,False,Utilities - Oct 2023
2023-11-01,Miscellaneous,Charity,73.75,expense,False,Charity - Nov 2023
2023-11-03,Housing,Rent,98.29,expense,True,Rent - Nov 2023
2023-11-03,Shopping,Home Goods,367.78,expense,False,Home Goods - Nov 2023
2023-11-03,Entertainment,Movies,62.71,expense,False,Movies - Nov 2023
2023-11-03,Food,Restaurants,315.95,expense,False,Restaurants - Nov 2023
2023-11-04,Housing,Rent,610.51,expense,True,Rent - Nov 2023
2023-11-07,Housing,Utilities,168.16,expense,False,Utilities - Nov 2023
2023-11-07,Food,Coffee,328.07,expense,False,Coffee - Nov 2023
2023-11-08,Income,Salary,6841.19,income,True,Monthly Salary - Nov 2023
2023-11-08,Transport,Public Transit,80.96,expense,False,Public Transit - Nov 2023
2023-11-09,Housing,Mortgage,599.26,expense,True,Mortgage - Nov 2023
2023-11-13,Housing,Mortgage,620.89,expense,True,Mortgage - Nov 2023
2023-11-15,Entertainment,Streaming,206.87,expense,True,Streaming - Nov 2023
2023-11-17,Miscellaneous,Pet,99.6,expense,False,Pet - Nov 2023
2023-11-18,Housing,Maintenance,1184.74,expense,False,Maintenance - Nov 2023
2023-11-18,Education,Books,34.64,expense,False,Books - Nov 2023
2023-11-18,Savings,Investments,249.79,expense,True,Investments - Nov 2023
2023-11-19,Savings,Investments,181.05,expense,True,Investments - Nov 2023
2023-11-20,Housing,Utilities,944.19,expense,False,Utilities - Nov 2023
2023-11-20,Housing,Utilities,713.97,expense,False,Utilities - Nov 2023
2023-11-21,Healthcare,Doctor,67.37,expense,False,Doctor - Nov 2023
2023-11-21,Transport,Public Transit,170.7,expense,False,Public Transit - Nov 2023
2023-11-22,Transport,Fuel,260.04,expense,False,Fuel - Nov 2023
2023-11-23,Education,Books,50.46,expense,False,Books - Nov 2023
2023-11-23,Miscellaneous,Gifts,86.39,expense,False,Gifts - Nov 2023
2023-11-24,Savings,Investments,256.15,expense,True,Investments - Nov 2023
